Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-23,14.600000381469727,19.969999313354492,14.600000381469727,17.600000381469727,16185800,0,0
2021-06-24,19.389999389648438,21.0,18.850000381469727,19.639999389648438,4887900,0,0
2021-06-25,19.09000015258789,21.15999984741211,18.030000686645508,20.540000915527344,2020600,0,0
2021-06-28,21.489999771118164,25.3700008392334,21.0,24.010000228881836,2773300,0,0
2021-06-29,25.719999313354492,26.5,22.510000228881836,23.15999984741211,3486600,0,0
2021-06-30,22.739999771118164,22.739999771118164,20.200000762939453,20.59000015258789,2006500,0,0
2021-07-01,21.010000228881836,21.450000762939453,19.1299991607666,19.860000610351562,1204200,0,0
2021-07-02,20.100000381469727,21.25,19.729999542236328,20.8799991607666,688700,0,0
2021-07-06,20.989999771118164,20.989999771118164,19.232999801635742,19.829999923706055,789200,0,0
2021-07-07,19.65999984741211,20.030000686645508,18.5,19.729999542236328,873900,0,0
2021-07-08,18.780000686645508,20.079999923706055,18.329999923706055,19.579999923706055,950200,0,0
2021-07-09,19.579999923706055,22.639999389648438,19.56999969482422,22.3700008392334,1353400,0,0
2021-07-12,22.3700008392334,23.489999771118164,21.549999237060547,22.34000015258789,783900,0,0
2021-07-13,21.610000610351562,22.889999389648438,21.56999969482422,22.15999984741211,456600,0,0
