Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,2.119999885559082,2.190000057220459,2.0199999809265137,2.0299999713897705,351600,0,0
2020-07-15,2.0399999618530273,2.2200000286102295,2.0199999809265137,2.109999895095825,299000,0,0
2020-07-16,2.069999933242798,2.180000066757202,2.059999942779541,2.0799999237060547,191000,0,0
2020-07-17,2.240000009536743,2.240000009536743,2.0399999618530273,2.059999942779541,253500,0,0
2020-07-20,4.889999866485596,5.239999771118164,2.9000000953674316,2.9700000286102295,77568500,0,0
2020-07-21,2.9000000953674316,3.1600000858306885,2.7200000286102295,3.0399999618530273,2997700,0,0
2020-07-22,3.0,3.0,2.569999933242798,2.740000009536743,5213100,0,0
2020-07-23,2.819999933242798,2.9100000858306885,2.6600000858306885,2.7100000381469727,1612200,0,0
2020-07-24,2.7699999809265137,3.0999999046325684,2.630000114440918,2.9200000762939453,7259500,0,0
2020-07-27,2.6500000953674316,2.8499999046325684,2.5999999046325684,2.630000114440918,3193500,0,0
2020-07-28,2.75,2.75,2.430000066757202,2.450000047683716,3318100,0,0
2020-07-29,2.4600000381469727,2.559999942779541,2.2699999809265137,2.490000009536743,3305000,0,0
2020-07-30,2.440000057220459,2.7300000190734863,2.390000104904175,2.680000066757202,4067800,0,0
2020-07-31,2.6500000953674316,3.1700000762939453,2.5399999618530273,2.809999942779541,6762500,0,0
2020-08-03,3.1500000953674316,3.1700000762939453,2.6600000858306885,2.740000009536743,7375900,0,0
2020-08-04,2.690000057220459,2.990000009536743,2.680000066757202,2.9100000858306885,3531500,0,0
2020-08-05,2.7300000190734863,2.859999895095825,2.680000066757202,2.7899999618530273,1883000,0,0
2020-08-06,2.6600000858306885,2.75,2.5199999809265137,2.569999933242798,1859000,0,0
2020-08-07,2.390000104904175,2.5999999046325684,2.390000104904175,2.559999942779541,807500,0,0
2020-08-10,2.450000047683716,2.5199999809265137,2.4000000953674316,2.450000047683716,1067100,0,0
2020-08-11,2.4100000858306885,2.4200000762939453,2.2300000190734863,2.259999990463257,1022200,0,0
2020-08-12,2.259999990463257,2.319999933242798,2.119999885559082,2.2300000190734863,697000,0,0
2020-08-13,2.1700000762939453,2.2300000190734863,2.1500000953674316,2.200000047683716,444600,0,0
2020-08-14,2.2300000190734863,2.25,2.109999895095825,2.119999885559082,810900,0,0
2020-08-17,2.1600000858306885,2.3299999237060547,2.130000114440918,2.240000009536743,2756200,0,0
2020-08-18,2.2200000286102295,2.2200000286102295,2.059999942779541,2.0999999046325684,948400,0,0
2020-08-19,2.059999942779541,2.119999885559082,2.049999952316284,2.0799999237060547,361300,0,0
2020-08-20,2.0199999809265137,2.049999952316284,1.899999976158142,2.0199999809265137,643700,0,0
2020-08-21,1.9500000476837158,2.0,1.909999966621399,1.940000057220459,356200,0,0
2020-08-24,1.9199999570846558,1.9299999475479126,1.7000000476837158,1.7000000476837158,787200,0,0
2020-08-25,1.649999976158142,1.8899999856948853,1.600000023841858,1.8200000524520874,683500,0,0
2020-08-26,1.809999942779541,2.0,1.75,1.8200000524520874,1108800,0,0
2020-08-27,1.7899999618530273,1.8200000524520874,1.6699999570846558,1.7100000381469727,315400,0,0
2020-08-28,1.659999966621399,1.75,1.659999966621399,1.7300000190734863,222700,0,0
