Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,78.0999984741211,80.7699966430664,74.11199951171875,79.62000274658203,4690100,0,0
2020-07-15,79.08999633789062,79.5,73.04000091552734,76.62999725341797,5225800,0,0
2020-07-16,73.4000015258789,77.0,72.8499984741211,75.01000213623047,3612400,0,0
2020-07-17,75.68000030517578,78.12000274658203,73.69999694824219,76.13999938964844,3791700,0,0
2020-07-20,78.2300033569336,84.16000366210938,76.61000061035156,84.11000061035156,2122900,0,0
2020-07-21,85.0,88.95999908447266,82.81999969482422,85.6500015258789,3618100,0,0
2020-07-22,85.43000030517578,86.80000305175781,82.0,83.77999877929688,2635800,0,0
2020-07-23,84.5,87.9800033569336,81.5,82.36000061035156,2195100,0,0
2020-07-24,79.36000061035156,81.80000305175781,77.4800033569336,81.19999694824219,2215100,0,0
2020-07-27,80.72000122070312,87.62999725341797,79.30999755859375,87.37000274658203,3786500,0,0
2020-07-28,85.47000122070312,90.18000030517578,84.01000213623047,85.33000183105469,1820400,0,0
2020-07-29,86.37999725341797,87.04000091552734,82.9000015258789,83.7699966430664,1610500,0,0
2020-07-30,83.43000030517578,86.80999755859375,82.31999969482422,86.05000305175781,1877600,0,0
2020-07-31,87.0,90.0,86.01000213623047,89.12000274658203,1969900,0,0
2020-08-03,90.0199966430664,98.66999816894531,89.9000015258789,97.43000030517578,3626600,0,0
2020-08-04,97.43000030517578,105.69000244140625,96.4749984741211,105.38999938964844,3422600,0,0
2020-08-05,106.30000305175781,113.69000244140625,104.6500015258789,113.56999969482422,4687800,0,0
2020-08-06,112.2699966430664,131.5399932861328,110.27999877929688,131.27000427246094,9054100,0,0
2020-08-07,128.11000061035156,141.77999877929688,99.01000213623047,106.98999786376953,23994900,0,0
2020-08-10,107.41999816894531,107.41999816894531,94.5999984741211,96.55999755859375,8340200,0,0
2020-08-11,96.23999786376953,109.26000213623047,94.30000305175781,98.0199966430664,5524500,0,0
2020-08-12,97.4800033569336,100.98999786376953,90.2300033569336,99.16000366210938,2797300,0,0
2020-08-13,99.16000366210938,103.08000183105469,98.26000213623047,100.0,2710000,0,0
2020-08-14,89.62999725341797,91.47000122070312,84.11000061035156,89.19999694824219,10546300,0,0
2020-08-17,93.98999786376953,94.79000091552734,85.45999908447266,88.01000213623047,4303900,0,0
2020-08-18,88.2699966430664,91.94999694824219,87.51000213623047,89.98999786376953,5991300,0,0
2020-08-19,89.30000305175781,90.49099731445312,85.52999877929688,87.5,6236000,0,0
