Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,2.549999952316284,2.549999952316284,2.369999885559082,2.3929998874664307,12900,0,0
2020-07-15,2.549999952316284,2.549999952316284,2.380000114440918,2.5199999809265137,21100,0,0
2020-07-16,2.4000000953674316,2.690000057220459,2.4000000953674316,2.690000057220459,34900,0,0
2020-07-17,2.5799999237060547,2.930000066757202,2.4000000953674316,2.869999885559082,76700,0,0
2020-07-20,2.799999952316284,3.890000104904175,2.799999952316284,3.3499999046325684,485900,0,0
2020-07-21,3.049999952316284,3.2799999713897705,2.9000000953674316,3.25,105600,0,0
2020-07-22,2.9600000381469727,3.1600000858306885,2.490000009536743,2.9100000858306885,124400,0,0
2020-07-23,2.869999885559082,2.8970000743865967,2.609999895095825,2.609999895095825,29800,0,0
2020-07-24,2.740000009536743,2.740000009536743,2.309999942779541,2.3499999046325684,40600,0,0
2020-07-27,2.440000057220459,2.700000047683716,2.369999885559082,2.4100000858306885,30300,0,0
2020-07-28,2.619999885559082,2.619999885559082,2.1500000953674316,2.2899999618530273,49800,0,0
2020-07-29,2.4700000286102295,2.4700000286102295,2.109999895095825,2.299999952316284,63200,0,0
2020-07-30,2.1630001068115234,2.430000066757202,2.1630001068115234,2.3299999237060547,26600,0,0
2020-07-31,2.299999952316284,2.299999952316284,2.0999999046325684,2.200000047683716,11200,0,0
2020-08-03,2.130000114440918,2.319000005722046,1.9800000190734863,1.9900000095367432,82900,0,0
2020-08-04,2.1500000953674316,2.1500000953674316,1.9500000476837158,2.0299999713897705,50300,0,0
2020-08-05,2.0,2.0899999141693115,1.899999976158142,2.0,27400,0,0
2020-08-06,2.049999952316284,2.190000057220459,1.9199999570846558,1.9199999570846558,43600,0,0
2020-08-07,1.940000057220459,2.0799999237060547,1.940000057220459,1.9900000095367432,19300,0,0
2020-08-10,1.9800000190734863,1.9800000190734863,1.7799999713897705,1.7899999618530273,73200,0,0
2020-08-11,1.909999966621399,1.909999966621399,1.7000000476837158,1.7400000095367432,65400,0,0
2020-08-12,1.7000000476837158,1.7200000286102295,1.5199999809265137,1.5800000429153442,73100,0,0
2020-08-13,1.6399999856948853,1.659999966621399,1.5499999523162842,1.6460000276565552,18500,0,0
2020-08-14,1.7100000381469727,1.7100000381469727,1.4199999570846558,1.5800000429153442,35700,0,0
2020-08-17,1.6699999570846558,1.8200000524520874,1.6100000143051147,1.7599999904632568,110200,0,0
2020-08-18,1.7599999904632568,1.9500000476837158,1.75,1.7899999618530273,96800,0,0
2020-08-19,1.8350000381469727,1.940000057220459,1.7899999618530273,1.9149999618530273,95800,0,0
2020-08-20,1.8799999952316284,1.9600000381469727,1.5,1.5399999618530273,141600,0,0
2020-08-21,1.649999976158142,1.7599999904632568,1.6200000047683716,1.6799999475479126,76000,0,0
