Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,94.25,95.68000030517578,93.43000030517578,94.80500030517578,994700,0,0
2020-07-15,95.94999694824219,96.75,93.04000091552734,95.12999725341797,1092000,0,0
2020-07-16,93.02999877929688,96.57499694824219,93.02999877929688,96.12000274658203,1489000,0,0
2020-07-17,96.26000213623047,96.5,94.12000274658203,96.1500015258789,1444800,0,0
2020-07-20,95.77999877929688,96.61499786376953,94.62000274658203,96.16999816894531,1114000,0,0
2020-07-21,97.04000091552734,99.76000213623047,96.23999786376953,98.5999984741211,1080900,0,0
2020-07-22,101.7300033569336,110.16999816894531,99.80000305175781,108.80999755859375,3785100,0,0
2020-07-23,108.19999694824219,109.73999786376953,102.0,102.77999877929688,1816500,0,0
2020-07-24,101.72000122070312,107.23999786376953,100.62999725341797,105.75,1496500,0,0
2020-07-27,106.91999816894531,108.6500015258789,105.31999969482422,107.80000305175781,1037300,0,0
2020-07-28,108.44000244140625,108.75,105.04000091552734,105.31999969482422,583000,0,0
2020-07-29,106.0,108.03500366210938,106.0,106.83000183105469,554700,0,0
2020-07-30,106.29000091552734,107.94000244140625,105.61499786376953,106.80000305175781,410000,0,0
2020-07-31,107.56999969482422,107.9990005493164,103.6500015258789,105.0999984741211,614000,0,0
2020-08-03,106.0,106.0,102.87999725341797,103.2699966430664,724400,0,0
2020-08-04,102.79000091552734,104.55999755859375,101.95999908447266,103.70999908447266,743500,0,0
2020-08-05,104.12999725341797,104.71900177001953,100.55000305175781,103.2300033569336,813600,0,0
2020-08-06,103.55000305175781,104.12999725341797,101.98500061035156,103.12999725341797,828000,0,0
2020-08-07,103.05000305175781,103.25,101.27999877929688,102.8499984741211,825100,0,0
2020-08-10,102.80000305175781,102.96900177001953,101.04000091552734,102.88999938964844,915900,0,0
2020-08-11,103.33999633789062,103.79000091552734,101.29000091552734,103.75,1597500,0,0
2020-08-12,104.31999969482422,105.56999969482422,101.69999694824219,103.1050033569336,1258700,0,0
2020-08-13,103.1500015258789,104.05000305175781,101.76000213623047,102.66999816894531,710000,0,0
2020-08-14,102.77999877929688,104.2300033569336,102.1500015258789,103.94000244140625,638700,0,0
2020-08-17,104.19999694824219,109.98999786376953,103.2300033569336,107.13999938964844,2100100,0,0
2020-08-18,107.62000274658203,108.19499969482422,100.58999633789062,104.11000061035156,1533900,0,0
