Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,36.53699543780979,36.940121450078664,36.36001292015594,36.90079116821289,1109500,0.0,0
2020-07-15,37.657878305526445,38.52312566301856,37.461230667358905,38.47396469116211,1395400,0.0,0
2020-07-16,38.27732137855531,38.77876934934442,38.080673718165436,38.4444694519043,905900,0.0,0
2020-07-17,38.67062083434569,38.78860794289899,37.952856234561494,38.04134750366211,899200,0.0,0
2020-07-20,38.0511786368883,38.30681797494809,37.3235834042313,37.431739807128906,786300,0.0,0
2020-07-21,37.66771637041457,38.30681656745289,37.61855164309139,37.89385986328125,1106700,0.0,0
2020-07-22,37.707041709114264,38.159332431290395,37.54972433858317,38.149497985839844,1316400,0.0,0
2020-07-23,38.17900063384859,38.532961932878884,38.002018108962304,38.1888313293457,998000,0.0,0
2020-07-24,38.090506551700805,38.26748531274371,37.62838513195779,37.74637222290039,857100,0.0,0
2020-07-27,37.58905447728126,37.96268463741317,37.31375001757456,37.76603698730469,1270900,0.0,0
2020-07-28,37.569391380326266,38.60178691111292,37.569391380326266,38.247825622558594,1104600,0.0,0
2020-07-29,38.542793594194826,40.6960758237354,38.395306917198866,40.47976303100586,2307100,0.0,0
2020-07-30,41.2958487481377,43.66544372865592,40.82389664110516,42.67237854003906,2064000,0.0,0
2020-07-31,42.6133838709149,42.6723792918616,41.8267970120022,42.63304901123047,1383700,0.0,0
2020-08-03,42.44623267191104,44.16689309179679,42.397071695777,43.77360153198242,1334000,0.0,0
2020-08-04,43.59662115676483,43.86209494180696,42.9575171834328,43.272151947021484,1018900,0.0,0
2020-08-05,43.665443489238484,45.16979105657775,43.64577834937721,44.83549118041992,1506300,0.0,0
2020-08-06,44.99280963724283,45.946548314511354,44.54052266171545,45.759735107421875,1806500,0.0,0
2020-08-07,45.710573686065516,46.074369401898274,45.28778254979691,45.976043701171875,933900,0.0,0
2020-08-10,46.21202102164661,47.02810744855522,45.985877539076526,46.595481872558594,930600,0.0,0
2020-08-11,47.146098513544594,47.53939009219953,46.82162930418059,46.978946685791016,1269700,0.0,0
