Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,6.139999866485596,6.360000133514404,6.070000171661377,6.329999923706055,152100,0,0
2020-07-15,6.480000019073486,6.550000190734863,6.349999904632568,6.440000057220459,214000,0,0
2020-07-16,6.329999923706055,6.710000038146973,6.329999923706055,6.590000152587891,335500,0,0
2020-07-17,6.610000133514404,6.7210001945495605,6.519999980926514,6.599999904632568,191100,0,0
2020-07-20,6.590000152587891,6.769999980926514,6.53000020980835,6.630000114440918,157000,0,0
2020-07-21,6.730000019073486,7.480000019073486,6.699999809265137,7.199999809265137,1845300,0,0
2020-07-22,7.300000190734863,7.550000190734863,7.300000190734863,7.329999923706055,638300,0,0
2020-07-23,7.340000152587891,7.630000114440918,7.210000038146973,7.239999771118164,417000,0,0
2020-07-24,7.190000057220459,7.389999866485596,7.050000190734863,7.079999923706055,186600,0,0
2020-07-27,7.090000152587891,7.159999847412109,6.869999885559082,7.010000228881836,291100,0,0
2020-07-28,7.090000152587891,7.090000152587891,6.71999979019165,6.809999942779541,286100,0,0
2020-07-29,8.050000190734863,8.789999961853027,7.429999828338623,8.779999732971191,1961200,0,0
2020-07-30,9.0,10.34000015258789,8.84000015258789,9.829999923706055,1871600,0,0
2020-07-31,9.979999542236328,10.109999656677246,9.029999732971191,9.15999984741211,863000,0,0
2020-08-03,9.40999984741211,9.979999542236328,9.085000038146973,9.25,556700,0,0
2020-08-04,9.319999694824219,9.720000267028809,9.260000228881836,9.329999923706055,415900,0,0
2020-08-05,9.470000267028809,9.65999984741211,9.279999732971191,9.510000228881836,494400,0,0
2020-08-06,9.550000190734863,9.550000190734863,8.84000015258789,9.0600004196167,374100,0,0
2020-08-07,9.069999694824219,9.539999961853027,9.069999694824219,9.399999618530273,761200,0,0
2020-08-10,9.449999809265137,10.470000267028809,9.425000190734863,9.890000343322754,1360500,0,0
2020-08-11,10.079999923706055,10.6899995803833,10.010000228881836,10.3100004196167,779500,0,0
2020-08-12,10.640000343322754,10.770000457763672,10.352999687194824,10.470000267028809,681600,0,0
2020-08-13,10.579999923706055,10.829999923706055,10.420000076293945,10.6899995803833,726200,0,0
2020-08-14,10.6899995803833,11.0,10.550000190734863,10.979999542236328,739300,0,0
2020-08-17,11.25,11.34000015258789,10.609999656677246,10.770000457763672,624800,0,0
2020-08-18,10.680000305175781,10.760000228881836,10.15999984741211,10.399999618530273,589900,0,0
2020-08-19,10.399999618530273,11.09000015258789,10.291000366210938,10.65999984741211,456100,0,0
2020-08-20,10.5,11.050000190734863,10.399999618530273,10.960000038146973,292400,0,0
2020-08-21,10.8100004196167,11.010000228881836,10.531000137329102,10.770000457763672,334300,0,0
2020-08-24,10.770000457763672,11.170000076293945,10.649999618530273,11.119999885559082,614200,0,0
2020-08-25,11.149999618530273,11.25,10.170000076293945,10.270000457763672,601200,0,0
2020-08-26,10.270000457763672,10.378000259399414,10.010000228881836,10.069999694824219,350600,0,0
2020-08-27,10.119999885559082,10.329000473022461,10.029999732971191,10.119999885559082,221400,0,0
2020-08-28,10.119999885559082,10.369999885559082,9.9399995803833,10.09000015258789,456200,0,0
2020-08-31,10.119999885559082,10.25,9.319999694824219,9.569999694824219,509600,0,0
2020-09-01,9.399999618530273,9.789999961853027,9.149999618530273,9.710000038146973,343600,0,0
2020-09-02,9.670000076293945,9.760000228881836,9.232000350952148,9.390000343322754,546700,0,0
2020-09-03,9.329999923706055,9.390000343322754,8.869999885559082,9.020000457763672,527600,0,0
2020-09-04,9.039999961853027,9.1899995803833,8.65999984741211,8.90999984741211,268700,0,0
2020-09-08,8.890000343322754,9.199999809265137,8.569999694824219,9.029999732971191,540100,0,0
2020-09-09,9.100000381469727,9.600000381469727,9.100000381469727,9.520000457763672,288700,0,0
2020-09-10,9.529999732971191,9.75,8.970000267028809,9.100000381469727,376900,0,0
2020-09-11,9.210000038146973,9.210000038146973,8.390000343322754,8.520000457763672,385700,0,0
2020-09-14,8.579999923706055,8.579999923706055,7.869999885559082,8.149999618530273,548300,0,0
2020-09-15,8.199999809265137,8.600000381469727,8.180000305175781,8.359999656677246,263800,0,0
2020-09-16,8.399999618530273,8.550000190734863,8.289999961853027,8.399999618530273,309500,0,0
2020-09-17,8.1899995803833,8.25,7.960000038146973,7.989999771118164,310800,0,0
2020-09-18,7.980000019073486,8.100000381469727,7.690000057220459,7.829999923706055,775800,0,0
2020-09-21,7.619999885559082,7.860000133514404,7.309999942779541,7.800000190734863,347200,0,0
2020-09-22,7.789999961853027,7.840000152587891,7.449999809265137,7.710000038146973,168300,0,0
