Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,1.25,1.2599999904632568,1.1799999475479126,1.2100000381469727,41200,0,0
2020-07-15,1.1799999475479126,1.25,1.1799999475479126,1.25,56200,0,0
2020-07-16,1.2100000381469727,1.25,1.2100000381469727,1.2100000381469727,21500,0,0
2020-07-17,1.2100000381469727,1.25,1.149999976158142,1.1699999570846558,44300,0,0
2020-07-20,1.1799999475479126,1.2000000476837158,1.1299999952316284,1.2000000476837158,62600,0,0
2020-07-21,1.25,1.25,1.2000000476837158,1.2000000476837158,44300,0,0
2020-07-22,1.2200000286102295,1.2300000190734863,1.1699999570846558,1.2000000476837158,31700,0,0
2020-07-23,1.2200000286102295,1.2200000286102295,1.159999966621399,1.1799999475479126,36500,0,0
2020-07-24,1.149999976158142,1.149999976158142,1.1200000047683716,1.149999976158142,34500,0,0
2020-07-27,1.149999976158142,1.149999976158142,1.1100000143051147,1.1200000047683716,33600,0,0
2020-07-28,1.1399999856948853,1.1399999856948853,1.100000023841858,1.1100000143051147,28400,0,0
2020-07-29,1.1200000047683716,1.1699999570846558,1.100000023841858,1.100000023841858,47400,0,0
2020-07-30,1.1799999475479126,1.1799999475479126,1.0299999713897705,1.0299999713897705,85400,0,0
2020-07-31,1.100000023841858,1.159999966621399,1.090000033378601,1.1399999856948853,45300,0,0
2020-08-03,1.2000000476837158,1.3899999856948853,1.190000057220459,1.3799999952316284,142500,0,0
2020-08-04,1.4500000476837158,1.4500000476837158,1.2300000190734863,1.2899999618530273,83000,0,0
2020-08-05,1.25,1.2999999523162842,1.25,1.2999999523162842,23300,0,0
2020-08-06,1.3700000047683716,1.3799999952316284,1.2400000095367432,1.2899999618530273,30200,0,0
2020-08-07,1.340000033378601,1.399999976158142,1.2699999809265137,1.3600000143051147,42300,0,0
2020-08-10,1.4700000286102295,1.4700000286102295,1.3300000429153442,1.3700000047683716,45700,0,0
2020-08-11,1.2899999618530273,1.3600000143051147,1.2699999809265137,1.3200000524520874,14500,0,0
2020-08-12,1.2799999713897705,1.3200000524520874,1.25,1.25,20800,0,0
2020-08-13,1.3200000524520874,1.3200000524520874,1.190000057220459,1.2200000286102295,11000,0,0
2020-08-14,1.2999999523162842,1.2999999523162842,1.2400000095367432,1.25,14800,0,0
2020-08-17,1.3300000429153442,1.3300000429153442,1.149999976158142,1.149999976158142,21300,0,0
2020-08-18,1.2200000286102295,1.2400000095367432,1.149999976158142,1.1699999570846558,25600,0,0
2020-08-19,1.1699999570846558,1.2100000381469727,1.149999976158142,1.159999966621399,25600,0,0
2020-08-20,1.190000057220459,1.2200000286102295,1.159999966621399,1.1799999475479126,12700,0,0
2020-08-21,1.2000000476837158,1.2200000286102295,1.1299999952316284,1.149999976158142,10900,0,0
2020-08-24,1.1699999570846558,1.2000000476837158,1.1200000047683716,1.1399999856948853,19300,0,0
2020-08-25,1.1799999475479126,1.2999999523162842,1.149999976158142,1.2999999523162842,22200,0,0
2020-08-26,1.2999999523162842,1.2999999523162842,1.1799999475479126,1.2300000190734863,81200,0,0
2020-08-27,1.2899999618530273,1.2999999523162842,1.1699999570846558,1.2000000476837158,26000,0,0
2020-08-28,1.25,1.2999999523162842,1.25,1.2799999713897705,32900,0,0
