Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,2.3499999046325684,2.4000000953674316,2.200000047683716,2.3299999237060547,409500,0,0
2020-07-15,2.359999895095825,2.509999990463257,2.2899999618530273,2.369999885559082,216100,0,0
2020-07-16,2.3499999046325684,2.4000000953674316,2.25,2.259999990463257,185100,0,0
2020-07-17,2.2799999713897705,2.380000114440918,2.25,2.2799999713897705,154400,0,0
2020-07-20,2.4000000953674316,2.4000000953674316,2.25,2.3499999046325684,310700,0,0
2020-07-21,2.3499999046325684,2.390000104904175,2.2300000190734863,2.25,179700,0,0
2020-07-22,2.2899999618530273,2.380000114440918,2.25,2.3399999141693115,282500,0,0
2020-07-23,2.440000057220459,2.7899999618530273,2.3499999046325684,2.369999885559082,2958700,0,0
2020-07-24,2.430000066757202,2.450000047683716,2.309999942779541,2.3499999046325684,317100,0,0
2020-07-27,2.309999942779541,2.4700000286102295,2.259999990463257,2.4000000953674316,297500,0,0
2020-07-28,2.369999885559082,2.380000114440918,2.309999942779541,2.3399999141693115,255900,0,0
2020-07-29,2.359999895095825,2.4800000190734863,2.309999942779541,2.450000047683716,711500,0,0
2020-07-30,2.440000057220459,2.5,2.3299999237060547,2.4100000858306885,411600,0,0
2020-07-31,2.4200000762939453,2.4600000381469727,2.3399999141693115,2.3499999046325684,349400,0,0
2020-08-03,2.380000114440918,2.440000057220459,2.3299999237060547,2.4100000858306885,293700,0,0
2020-08-04,2.4000000953674316,2.5299999713897705,2.369999885559082,2.440000057220459,402600,0,0
2020-08-05,2.5,2.5299999713897705,2.3499999046325684,2.390000104904175,675000,0,0
2020-08-06,2.3299999237060547,2.3399999141693115,2.200000047683716,2.2899999618530273,664700,0,0
2020-08-07,2.240000009536743,2.259999990463257,2.109999895095825,2.1700000762939453,430400,0,0
2020-08-10,2.130000114440918,2.1700000762939453,2.049999952316284,2.109999895095825,338000,0,0
2020-08-11,2.119999885559082,2.259999990463257,2.0999999046325684,2.119999885559082,602800,0,0
2020-08-12,2.130000114440918,2.140000104904175,2.009999990463257,2.069999933242798,431100,0,0
2020-08-13,2.069999933242798,2.200000047683716,2.0399999618530273,2.130000114440918,561700,0,0
2020-08-14,2.0999999046325684,2.1500000953674316,2.0199999809265137,2.0999999046325684,434600,0,0
2020-08-17,2.0799999237060547,2.140000104904175,2.0299999713897705,2.049999952316284,365600,0,0
